hexId,col,row,terrain,mp,edges,source
0101,1,1,mixed,2,,auto
0102,1,2,mixed,2,,auto
0103,1,3,city,1,,manual
0104,1,4,mixed,2,,auto
0105,1,5,broken,3,,auto
0106,1,6,mixed,2,,auto
0107,1,7,mixed,2,,auto
0108,1,8,mixed,2,,auto
0109,1,9,mixed,2,,auto
0110,1,10,mixed,2,,auto
0111,1,11,broken,3,,auto
0112,1,12,broken,3,,auto
0113,1,13,broken,3,,auto
0114,1,14,broken,3,,auto
0115,1,15,town,1,,manual
0116,1,16,mixed,2,,auto
0117,1,17,mixed,2,,auto
0118,1,18,broken,3,,auto
0119,1,19,broken,3,,auto
0120,1,20,broken,3,,auto
0121,1,21,mixed,2,,auto
0122,1,22,mixed,2,,auto
0123,1,23,mixed,2,,auto
0124,1,24,mixed,2,,auto
0125,1,25,mixed,2,,auto
0126,1,26,mixed,2,,auto
0201,2,1,mixed,2,,auto
0202,2,2,mixed,2,,auto
0203,2,3,broken,3,,auto
0204,2,4,broken,3,,auto
0205,2,5,mixed,2,,auto
0206,2,6,mixed,2,,auto
0207,2,7,mixed,2,,auto
0208,2,8,mixed,2,,auto
0209,2,9,mixed,2,,auto
0210,2,10,broken,3,,auto
0211,2,11,broken,3,,auto
0212,2,12,broken,3,,auto
0213,2,13,mixed,2,,auto
0214,2,14,mixed,2,,auto
0215,2,15,broken,3,,auto
0216,2,16,broken,3,,auto
0217,2,17,mixed,2,,auto
0218,2,18,broken,3,,auto
0219,2,19,mixed,2,,auto
0220,2,20,mixed,2,,auto
0221,2,21,broken,3,,auto
0222,2,22,broken,3,,auto
0223,2,23,broken,3,,auto
0224,2,24,broken,3,,auto
0225,2,25,mixed,2,,auto
0226,2,26,broken,3,,auto
0301,3,1,mixed,2,,auto
0302,3,2,mixed,2,,auto
0303,3,3,mixed,2,,auto
0304,3,4,broken,3,,auto
0305,3,5,mixed,2,,auto
0306,3,6,mixed,2,,auto
0307,3,7,mixed,2,,auto
0308,3,8,mixed,2,,auto
0309,3,9,mixed,2,,auto
0310,3,10,broken,3,,auto
0311,3,11,broken,3,,auto
0312,3,12,broken,3,,auto
0313,3,13,broken,3,,auto
0314,3,14,mixed,2,,auto
0315,3,15,mixed,2,,auto
0316,3,16,mixed,2,,auto
0317,3,17,mixed,2,,auto
0318,3,18,broken,3,,auto
0319,3,19,mixed,2,,auto
0320,3,20,mixed,2,,auto
0321,3,21,broken,3,,auto
0322,3,22,broken,3,,auto
0323,3,23,broken,3,,auto
0324,3,24,broken,3,,auto
0325,3,25,mixed,2,,auto
0326,3,26,mixed,2,,auto
0401,4,1,mixed,2,,auto
0402,4,2,mixed,2,,auto
0403,4,3,mixed,2,,auto
0404,4,4,mixed,2,,auto
0405,4,5,mixed,2,,auto
0406,4,6,mixed,2,,auto
0407,4,7,broken,3,,auto
0408,4,8,mixed,2,,auto
0409,4,9,mixed,2,,auto
0410,4,10,town,1,,manual
0411,4,11,mixed,2,,auto
0412,4,12,broken,3,,auto
0413,4,13,mixed,2,,auto
0414,4,14,broken,3,,auto
0415,4,15,mixed,2,,auto
0416,4,16,mixed,2,,auto
0417,4,17,broken,3,,auto
0418,4,18,broken,3,,auto
0419,4,19,mixed,2,,auto
0420,4,20,broken,3,,auto
0421,4,21,mixed,2,,auto
0422,4,22,mixed,2,,auto
0423,4,23,mixed,2,,auto
0424,4,24,mixed,2,,auto
0425,4,25,mixed,2,,auto
0426,4,26,broken,3,,auto
0501,5,1,mixed,2,,auto
0502,5,2,mixed,2,,auto
0503,5,3,mixed,2,,auto
0504,5,4,mixed,2,,auto
0505,5,5,mixed,2,,auto
0506,5,6,mixed,2,,auto
0507,5,7,mixed,2,,auto
0508,5,8,mixed,2,,auto
0509,5,9,mixed,2,,auto
0510,5,10,mixed,2,,auto
0511,5,11,broken,3,,auto
0512,5,12,broken,3,,auto
0513,5,13,mixed,2,,auto
0514,5,14,mixed,2,,auto
0515,5,15,mixed,2,,auto
0516,5,16,mixed,2,,auto
0517,5,17,mixed,2,,auto
0518,5,18,broken,3,,auto
0519,5,19,mixed,2,,auto
0520,5,20,broken,3,,auto
0521,5,21,broken,3,,auto
0522,5,22,mixed,2,,auto
0523,5,23,broken,3,,auto
0524,5,24,mixed,2,,auto
0525,5,25,mixed,2,,auto
0526,5,26,mixed,2,,auto
0601,6,1,mixed,2,,auto
0602,6,2,mixed,2,,auto
0603,6,3,broken,3,,auto
0604,6,4,broken,3,,auto
0605,6,5,woods,2,,auto
0606,6,6,broken,3,,auto
0607,6,7,broken,3,,auto
0608,6,8,mixed,2,,auto
0609,6,9,mixed,2,,auto
0610,6,10,broken,3,,auto
0611,6,11,broken,3,,auto
0612,6,12,mixed,2,,auto
0613,6,13,mixed,2,,auto
0614,6,14,mixed,2,,auto
0615,6,15,mixed,2,,auto
0616,6,16,broken,3,,auto
0617,6,17,broken,3,,auto
0618,6,18,broken,3,,auto
0619,6,19,broken,3,,auto
0620,6,20,broken,3,,auto
0621,6,21,mixed,2,,auto
0622,6,22,mixed,2,,auto
0623,6,23,town,1,,manual
0624,6,24,mixed,2,,auto
0625,6,25,mixed,2,,auto
0626,6,26,broken,3,,auto
0701,7,1,mixed,2,,auto
0702,7,2,town,1,,manual
0703,7,3,broken,3,,auto
0704,7,4,woods,2,,auto
0705,7,5,woods,2,,auto
0706,7,6,woods,2,,auto
0707,7,7,broken,3,,auto
0708,7,8,broken,3,,auto
0709,7,9,mixed,2,,auto
0710,7,10,mixed,2,,auto
0711,7,11,broken,3,,auto
0712,7,12,mixed,2,,auto
0713,7,13,broken,3,,auto
0714,7,14,broken,3,,auto
0715,7,15,mixed,2,,auto
0716,7,16,mixed,2,,auto
0717,7,17,mixed,2,,auto
0718,7,18,broken,3,,auto
0719,7,19,broken,3,,auto
0720,7,20,mixed,2,,auto
0721,7,21,mixed,2,,auto
0722,7,22,mixed,2,,auto
0723,7,23,mixed,2,,auto
0724,7,24,mixed,2,,auto
0725,7,25,mixed,2,,auto
0726,7,26,mixed,2,,auto
0801,8,1,mixed,2,,auto
0802,8,2,broken,3,,auto
0803,8,3,broken,3,,auto
0804,8,4,broken,3,,auto
0805,8,5,broken,3,,auto
0806,8,6,broken,3,,auto
0807,8,7,mixed,2,,auto
0808,8,8,mixed,2,,auto
0809,8,9,mixed,2,,auto
0810,8,10,broken,3,,auto
0811,8,11,broken,3,,auto
0812,8,12,town,1,,manual
0813,8,13,mixed,2,,auto
0814,8,14,broken,3,,auto
0815,8,15,mixed,2,,auto
0816,8,16,mixed,2,,auto
0817,8,17,broken,3,,auto
0818,8,18,broken,3,,auto
0819,8,19,broken,3,,auto
0820,8,20,broken,3,,auto
0821,8,21,mixed,2,,auto
0822,8,22,mixed,2,,auto
0823,8,23,mixed,2,,auto
0824,8,24,mixed,2,,auto
0825,8,25,mixed,2,,auto
0826,8,26,broken,3,,auto
0901,9,1,mixed,2,,auto
0902,9,2,mixed,2,,auto
0903,9,3,broken,3,,auto
0904,9,4,broken,3,,auto
0905,9,5,broken,3,,auto
0906,9,6,broken,3,,auto
0907,9,7,mixed,2,,auto
0908,9,8,mixed,2,,auto
0909,9,9,mixed,2,,auto
0910,9,10,broken,3,,auto
0911,9,11,broken,3,,auto
0912,9,12,broken,3,,auto
0913,9,13,mixed,2,,auto
0914,9,14,mixed,2,,auto
0915,9,15,broken,3,,auto
0916,9,16,broken,3,,auto
0917,9,17,broken,3,,auto
0918,9,18,broken,3,,auto
0919,9,19,broken,3,,auto
0920,9,20,town,1,,manual
0921,9,21,broken,3,,auto
0922,9,22,mixed,2,,auto
0923,9,23,mixed,2,,auto
0924,9,24,mixed,2,,auto
0925,9,25,mixed,2,,auto
0926,9,26,mixed,2,,auto
1001,10,1,mixed,2,,auto
1002,10,2,mixed,2,,auto
1003,10,3,mixed,2,,auto
1004,10,4,town,1,,manual
1005,10,5,mixed,2,,auto
1006,10,6,mixed,2,,auto
1007,10,7,mixed,2,,auto
1008,10,8,mixed,2,,auto
1009,10,9,broken,3,,auto
1010,10,10,broken,3,,auto
1011,10,11,broken,3,,auto
1012,10,12,mixed,2,,auto
1013,10,13,mixed,2,,auto
1014,10,14,broken,3,,auto
1015,10,15,broken,3,,auto
1016,10,16,mixed,2,,auto
1017,10,17,broken,3,,auto
1018,10,18,broken,3,,auto
1019,10,19,broken,3,,auto
1020,10,20,broken,3,,auto
1021,10,21,broken,3,,auto
1022,10,22,mixed,2,,auto
1023,10,23,mixed,2,,auto
1024,10,24,mixed,2,,auto
1025,10,25,mixed,2,,auto
1026,10,26,broken,3,,auto
1101,11,1,mixed,2,,auto
1102,11,2,mixed,2,,auto
1103,11,3,mixed,2,,auto
1104,11,4,mixed,2,,auto
1105,11,5,mixed,2,,auto
1106,11,6,mixed,2,,auto
1107,11,7,mixed,2,,auto
1108,11,8,broken,3,,auto
1109,11,9,broken,3,,auto
1110,11,10,mixed,2,,auto
1111,11,11,mixed,2,,auto
1112,11,12,mixed,2,,auto
1113,11,13,mixed,2,,auto
1114,11,14,broken,3,,auto
1115,11,15,broken,3,,auto
1116,11,16,mixed,2,,auto
1117,11,17,mixed,2,,auto
1118,11,18,broken,3,,auto
1119,11,19,mixed,2,,auto
1120,11,20,mixed,2,,auto
1121,11,21,mixed,2,,auto
1122,11,22,broken,3,,auto
1123,11,23,mixed,2,,auto
1124,11,24,mixed,2,,auto
1125,11,25,mixed,2,,auto
1126,11,26,mixed,2,,auto
1201,12,1,mixed,2,,auto
1202,12,2,mixed,2,,auto
1203,12,3,mixed,2,,auto
1204,12,4,mixed,2,,auto
1205,12,5,mixed,2,,auto
1206,12,6,mixed,2,,auto
1207,12,7,mixed,2,,auto
1208,12,8,broken,3,,auto
1209,12,9,mixed,2,,auto
1210,12,10,mixed,2,,auto
1211,12,11,mixed,2,,auto
1212,12,12,mixed,2,,auto
1213,12,13,broken,3,,auto
1214,12,14,broken,3,,auto
1215,12,15,mixed,2,,auto
1216,12,16,broken,3,,auto
1217,12,17,broken,3,,auto
1218,12,18,mixed,2,,auto
1219,12,19,broken,3,,auto
1220,12,20,town,1,,manual
1221,12,21,mixed,2,,auto
1222,12,22,mixed,2,,auto
1223,12,23,mixed,2,,auto
1224,12,24,mixed,2,,auto
1225,12,25,mixed,2,,auto
1226,12,26,broken,3,,auto
1301,13,1,mixed,2,,auto
1302,13,2,mixed,2,,auto
1303,13,3,mixed,2,,auto
1304,13,4,mixed,2,,auto
1305,13,5,broken,3,,auto
1306,13,6,town,1,,manual
1307,13,7,broken,3,,auto
1308,13,8,town,1,,manual
1309,13,9,mixed,2,,auto
1310,13,10,mixed,2,,auto
1311,13,11,mixed,2,,auto
1312,13,12,mixed,2,,auto
1313,13,13,mixed,2,,auto
1314,13,14,mixed,2,,auto
1315,13,15,broken,3,,auto
1316,13,16,broken,3,,auto
1317,13,17,broken,3,,auto
1318,13,18,mixed,2,,auto
1319,13,19,mixed,2,,auto
1320,13,20,mixed,2,,auto
1321,13,21,mixed,2,,auto
1322,13,22,mixed,2,,auto
1323,13,23,mixed,2,,auto
1324,13,24,town,1,,manual
1325,13,25,mixed,2,,auto
1326,13,26,mixed,2,,auto
1401,14,1,mixed,2,,auto
1402,14,2,mixed,2,,auto
1403,14,3,mixed,2,,auto
1404,14,4,mixed,2,,auto
1405,14,5,broken,3,,auto
1406,14,6,broken,3,,auto
1407,14,7,broken,3,,auto
1408,14,8,mixed,2,,auto
1409,14,9,mixed,2,,auto
1410,14,10,mixed,2,,auto
1411,14,11,town,1,,manual
1412,14,12,town,1,,manual
1413,14,13,mixed,2,,auto
1414,14,14,mixed,2,,auto
1415,14,15,mixed,2,,auto
1416,14,16,woods,2,,auto
1417,14,17,mixed,2,,auto
1418,14,18,mixed,2,,auto
1419,14,19,mixed,2,,auto
1420,14,20,mixed,2,,auto
1421,14,21,mixed,2,,auto
1422,14,22,mixed,2,,auto
1423,14,23,broken,3,,auto
1424,14,24,mixed,2,,auto
1425,14,25,mixed,2,,auto
1426,14,26,broken,3,,auto
1501,15,1,mixed,2,,auto
1502,15,2,mixed,2,,auto
1503,15,3,broken,3,,auto
1504,15,4,broken,3,,auto
1505,15,5,mixed,2,,auto
1506,15,6,mixed,2,,auto
1507,15,7,mixed,2,,auto
1508,15,8,mixed,2,,auto
1509,15,9,mixed,2,,auto
1510,15,10,mixed,2,,auto
1511,15,11,broken,3,,auto
1512,15,12,mixed,2,,auto
1513,15,13,mixed,2,,auto
1514,15,14,mixed,2,,auto
1515,15,15,broken,3,,auto
1516,15,16,mixed,2,,auto
1517,15,17,mixed,2,,auto
